sparql, precision, recall, fmeasure, explain, evict, memory
2, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 88, 80
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 83, 56
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 97, 69
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 81, 45
5, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 81, 58
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 93, 70
2, 0, 0, 0, 0, 82, 47
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 85, 59
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 80, 72
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 92, 48
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 85, 61
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 94, 74
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 86, 50
2, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 86, 63
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 77, 76
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 97, 52
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 82, 65
2, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 92, 78
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 84, 54
2, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 83, 66
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 79
