sparql, precision, recall, fmeasure, explain, evict, memory
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 54000, 485, 59
4, 1.0, 8.8261253309797E-4, 0.001763668430335097, 29546, 453, 31
4, 1.0, 8.8261253309797E-4, 0.001763668430335097, 23645, 439, 51
3, 1.0, 9.561635775228008E-4, 0.0019105004041443162, 27107, 531, 39
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 28666, 458, 36
4, 1.0, 0.001066490144160047, 0.0021307079093347047, 16896, 451, 37
4, 1.0, 0.001066490144160047, 0.0021307079093347047, 26817, 460, 40
3, 1.0, 0.001066490144160047, 0.0021307079093347047, 17736, 474, 48
3, 1.0, 0.001066490144160047, 0.0021307079093347047, 23970, 479, 18
3, 1.0, 0.001066490144160047, 0.0021307079093347047, 12637, 462, 27
4, 1.0, 0.0014342453662842013, 0.002864382505233007, 11198, 480, 63
4, 1.0, 0.002316857899382171, 0.004623004953219593, 26014, 469, 59
4, 1.0, 0.00176522506619594, 0.003524229074889868, 18562, 466, 48
4, 1.0, 0.0018387761106207709, 0.003670802437412819, 19740, 469, 46
3, 1.0, 0.0019123271550456017, 0.003817354279841433, 10969, 453, 54
4, 1.0, 0.0019491026772580171, 0.0038906221325013765, 14458, 470, 70
4, 1.0, 0.0020226537216828477, 0.004037141703673799, 17226, 460, 40
4, 1.0, 0.002059429243895263, 0.004110393423370522, 12758, 467, 20
4, 1.0, 0.002059429243895263, 0.004110393423370522, 13232, 462, 56
4, 1.0, 0.0020962047661076785, 0.004183639766596939, 17277, 502, 53
4, 1.0, 0.0020962047661076785, 0.004183639766596939, 10712, 0, 18
