sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 7855, 26, 52
2, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 9821, 25, 62
2, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 10065, 28, 72
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 13497, 26, 48
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 13841, 28, 62
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 12039, 28, 41
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 8762, 27, 54
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 8280, 28, 68
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 9764, 25, 44
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 7186, 31, 59
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 6627, 25, 75
3, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 6902, 23, 55
3, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 6278, 26, 72
3, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 7259, 27, 51
3, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 6626, 24, 66
3, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 9736, 26, 45
3, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 8448, 26, 57
4, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 10408, 29, 70
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 7379, 28, 48
4, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 7593, 27, 63
3, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 4144, 0, 77
