sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1277, 5, 74
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2835, 5, 75
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2096, 6, 76
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3466, 6, 78
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3019, 6, 80
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2835, 5, 81
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1556, 5, 83
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2007, 6, 41
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1915, 5, 42
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2914, 6, 43
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2280, 6, 45
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 379, 6, 47
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1009, 6, 49
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2192, 7, 51
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 3209, 6, 52
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 826, 6, 54
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1660, 5, 56
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1283, 5, 57
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 3297, 6, 59
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2023, 6, 60
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 1201, 0, 62
