sparql, precision, recall, fmeasure, explain, evict, memory
2, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 7620, 48, 67
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 8580, 43, 45
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 12995, 55, 60
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 11274, 50, 74
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 8943, 47, 52
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 6336, 48, 65
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 6296, 46, 42
2, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 12348, 50, 60
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 8332, 46, 76
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 7332, 50, 54
3, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 11860, 49, 72
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 6577, 91, 48
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 5325, 47, 61
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 3476, 48, 74
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 3926, 45, 51
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 3237, 44, 64
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 6560, 43, 78
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 5641, 47, 54
4, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 3327, 46, 68
4, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 3731, 46, 45
5, 1.0, 5.148573109738158E-4, 0.0010291847386605893, 3609, 0, 59
