sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 827, 10, 51
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3933, 11, 53
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1194, 10, 55
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 826, 19, 56
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2287, 10, 59
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 830, 10, 60
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2101, 10, 62
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1648, 10, 63
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1646, 10, 65
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2837, 9, 67
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1284, 9, 69
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1012, 10, 70
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1651, 46, 72
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1014, 10, 73
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 827, 10, 75
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2656, 15, 77
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 8, 10, 79
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 8, 10, 40
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1835, 10, 42
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 9, 10, 44
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1465, 0, 45
