sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 831, 11, 64
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2834, 5, 65
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3017, 6, 67
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2727, 5, 69
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 557, 6, 70
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2738, 5, 72
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2646, 6, 74
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3660, 5, 75
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2012, 6, 77
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1833, 6, 79
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2280, 6, 80
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1654, 5, 82
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2378, 5, 40
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1186, 6, 41
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3016, 6, 43
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2466, 6, 44
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1464, 6, 46
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1011, 6, 48
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1557, 5, 49
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1015, 5, 51
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1655, 0, 53
