sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 13, 71
3, 0, 0, 0, 0, 11, 72
2, 0, 0, 0, 0, 11, 74
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 10, 75
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 14, 76
2, 0, 0, 0, 0, 22, 77
2, 0, 0, 0, 0, 15, 41
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 15, 42
2, 0, 0, 0, 0, 13, 44
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 45
3, 0, 0, 0, 0, 13, 46
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 47
3, 0, 0, 0, 0, 11, 48
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 13, 50
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 51
2, 0, 0, 0, 0, 14, 52
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 53
6, 0, 0, 0, 0, 17, 55
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 13, 56
2, 0, 0, 0, 0, 13, 57
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 59
