sparql, precision, recall, fmeasure, explain, evict, memory
5, 1.0, 0.002316857899382171, 0.004623004953219593, 102906, 353, 60
5, 1.0, 0.002316857899382171, 0.004623004953219593, 115468, 298, 84
5, 1.0, 0.0034568990879670493, 0.006889980209631313, 140299, 283, 76
5, 1.0, 0.003604001176816711, 0.0071821179919384385, 136890, 268, 83
5, 1.0, 0.003604001176816711, 0.0071821179919384385, 135839, 257, 90
5, 1.0, 0.003604001176816711, 0.0071821179919384385, 149319, 333, 64
5, 1.0, 0.0048543689320388345, 0.00966183574879227, 172035, 229, 68
4, 1.0, 0.0048175934098264196, 0.009588990959997072, 162870, 231, 93
4, 1.0, 0.0048543689320388345, 0.00966183574879227, 174014, 211, 80
5, 1.0, 0.0061047366872609594, 0.012135390013889906, 173868, 208, 81
5, 1.0, 0.006067961165048544, 0.012062726176115804, 162773, 201, 72
5, 1.0, 0.005957634598411298, 0.011844702785698618, 174352, 172, 75
5, 1.0, 0.005920859076198882, 0.011772017694585602, 166077, 160, 61
6, 1.0, 0.006693145042659606, 0.013297289398699497, 159452, 145, 69
5, 1.0, 0.006251838776110621, 0.012425992252028362, 159392, 175, 92
6, 1.0, 0.005185348631950574, 0.010317198990231587, 162488, 148, 85
5, 1.0, 0.006067961165048544, 0.012062726176115804, 160613, 169, 89
4, 1.0, 0.0057002059429243895, 0.01133579551687571, 145635, 165, 71
4, 1.0, 0.005369226243012651, 0.01068110322627844, 167284, 179, 85
5, 1.0, 0.005810532509561636, 0.011553930530164534, 160543, 168, 63
5, 1.0, 0.005626654898499559, 0.011190345584201865, 158272, 0, 67
