sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 82, 55
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 78, 68
2, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 87, 44
2, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 92, 57
5, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 83, 69
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 87, 45
3, 0, 0, 0, 0, 87, 58
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 85, 71
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 81, 47
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 81, 60
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 91, 73
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 91, 49
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 88, 61
2, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 92, 74
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 85, 50
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 88, 63
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 102, 76
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 88, 52
2, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 88, 65
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 88, 78
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 54
