sparql, precision, recall, fmeasure, explain, evict, memory
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1650, 7, 47
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3108, 8, 49
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2469, 8, 50
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2833, 8, 52
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3204, 7, 54
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 3473, 7, 56
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 3284, 8, 57
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1457, 10, 59
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 1824, 9, 61
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1460, 8, 63
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 193, 8, 64
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2467, 8, 66
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2833, 8, 67
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 4099, 8, 70
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1641, 8, 71
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1915, 9, 73
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1189, 8, 75
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 2833, 8, 77
4, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 372, 9, 79
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1196, 8, 81
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2653, 0, 40
