sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 8344, 67, 61
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 9567, 61, 77
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 8804, 68, 56
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 12807, 70, 74
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 9947, 67, 54
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 13460, 70, 74
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 7781, 68, 56
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 4906, 70, 73
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 3199, 66, 49
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 5952, 64, 63
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 2884, 67, 77
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 2487, 65, 54
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 1036, 65, 67
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 5580, 63, 44
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 2398, 65, 58
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 5025, 60, 71
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 3380, 66, 48
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 2478, 63, 62
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 3484, 60, 75
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 2130, 65, 52
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 2866, 0, 65
