sparql, precision, recall, fmeasure, evict, memory
34, 1.0, 0.03355704697986577, 0.06493506493506493, 21, 21
12, 1.0, 0.03355704697986577, 0.06493506493506493, 91, 21
10, 1.0, 0.03355704697986577, 0.06493506493506493, 56, 22
9, 1.0, 0.03131991051454139, 0.060737527114967466, 41, 22
9, 1.0, 0.03131991051454139, 0.060737527114967466, 67, 23
10, 1.0, 0.03131991051454139, 0.060737527114967466, 112, 23
9, 1.0, 0.03131991051454139, 0.060737527114967466, 76, 24
11, 1.0, 0.03131991051454139, 0.060737527114967466, 60, 25
9, 1.0, 0.03131991051454139, 0.060737527114967466, 106, 25
9, 1.0, 0.03131991051454139, 0.060737527114967466, 36, 26
10, 1.0, 0.03131991051454139, 0.060737527114967466, 85, 26
7, 1.0, 0.03131991051454139, 0.060737527114967466, 131, 27
9, 1.0, 0.03355704697986577, 0.06493506493506493, 34, 27
8, 1.0, 0.03355704697986577, 0.06493506493506493, 43, 28
8, 1.0, 0.03355704697986577, 0.06493506493506493, 127, 29
10, 1.0, 0.03355704697986577, 0.06493506493506493, 66, 29
10, 1.0, 0.03355704697986577, 0.06493506493506493, 94, 30
8, 1.0, 0.03355704697986577, 0.06493506493506493, 77, 30
10, 1.0, 0.03355704697986577, 0.06493506493506493, 83, 31
14, 1.0, 0.03355704697986577, 0.06493506493506493, 59, 31
9, 1.0, 0.03355704697986577, 0.06493506493506493, 104, 32
10, 1.0, 0.03355704697986577, 0.06493506493506493, 61, 32
9, 1.0, 0.03355704697986577, 0.06493506493506493, 133, 33
8, 1.0, 0.03355704697986577, 0.06493506493506493, 51, 33
9, 1.0, 0.03355704697986577, 0.06493506493506493, 59, 34
9, 1.0, 0.03355704697986577, 0.06493506493506493, 125, 34
10, 1.0, 0.03355704697986577, 0.06493506493506493, 70, 35
9, 1.0, 0.03355704697986577, 0.06493506493506493, 57, 35
9, 1.0, 0.03355704697986577, 0.06493506493506493, 88, 36
9, 1.0, 0.03355704697986577, 0.06493506493506493, 78, 36
8, 1.0, 0.03355704697986577, 0.06493506493506493, 33, 8
8, 1.0, 0.03355704697986577, 0.06493506493506493, 179, 9
9, 1.0, 0.03355704697986577, 0.06493506493506493, 53, 9
9, 1.0, 0.03355704697986577, 0.06493506493506493, 51, 10
9, 1.0, 0.03355704697986577, 0.06493506493506493, 25, 10
8, 1.0, 0.03355704697986577, 0.06493506493506493, 125, 11
8, 1.0, 0.03355704697986577, 0.06493506493506493, 134, 12
8, 1.0, 0.03355704697986577, 0.06493506493506493, 67, 12
8, 1.0, 0.03355704697986577, 0.06493506493506493, 108, 13
