sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 8517, 48, 74
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 11129, 54, 51
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 12138, 53, 68
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 13397, 53, 47
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 8136, 52, 59
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 10300, 56, 75
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 8934, 82, 53
5, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 13431, 54, 70
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 7206, 51, 49
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 2502, 53, 65
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 5392, 48, 46
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 4700, 49, 59
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 5642, 50, 72
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 2582, 56, 49
5, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 4287, 47, 62
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 7098, 45, 76
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 7295, 45, 52
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 3928, 50, 66
3, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 5521, 72, 43
5, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 7358, 45, 56
3, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 9916, 0, 70
