sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 13231, 33, 70
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 9445, 26, 44
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 11935, 31, 54
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 8074, 27, 69
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 12496, 31, 48
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 11912, 33, 61
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 11182, 32, 76
3, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 9121, 27, 51
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 5289, 27, 66
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 8011, 32, 46
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 6874, 28, 61
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 4927, 31, 75
3, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 12549, 31, 54
4, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 6985, 35, 70
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 2762, 28, 47
4, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 7895, 28, 62
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 7462, 27, 77
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 4687, 28, 53
3, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 5335, 28, 67
3, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 5207, 27, 45
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 2448, 0, 59
