sparql, precision, recall, fmeasure, explain, evict, memory
210, 1.0, 0.002316857899382171, 0.004623004953219593, 113863, 125, 96
13, 1.0, 0.002316857899382171, 0.004623004953219593, 115639, 356, 77
15, 1.0, 0.0035672256546042955, 0.007109091575360036, 128146, 217, 79
13, 1.0, 0.0035672256546042955, 0.007109091575360036, 133905, 141, 98
14, 1.0, 0.0034936746101794647, 0.006963022684794958, 144907, 143, 99
13, 1.0, 0.0037511032656663726, 0.007474170147285119, 127869, 133, 92
16, 1.0, 0.004670491320976758, 0.009297558475786083, 149850, 152, 86
15, 1.0, 0.004633715798764342, 0.00922468701954755, 158648, 159, 81
16, 1.0, 0.00448661370991468, 0.008933147836274438, 149592, 184, 96
