sparql, precision, recall, fmeasure, explain, evict, memory
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 103, 79
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 109, 55
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 101, 67
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 98, 80
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 105, 56
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 108, 69
3, 0, 0, 0, 0, 100, 45
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 101, 57
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 95, 70
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 101, 46
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 97, 59
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 111, 72
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 98, 48
4, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 100, 61
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 98, 73
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 188, 50
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 100, 62
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 103, 75
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 104, 51
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 99, 64
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 76
