sparql, precision, recall, fmeasure, explain, evict, memory
4, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1292, 14, 67
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2479, 14, 69
3, 0, 0, 0, 2, 38, 70
3, 0, 0, 0, 2, 38, 71
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 836, 13, 73
3, 0, 0, 0, 3, 38, 74
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1198, 14, 76
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2385, 13, 77
3, 0, 0, 0, 2, 38, 79
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 376, 12, 40
4, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1651, 13, 43
3, 0, 0, 0, 3, 36, 43
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 832, 13, 45
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1204, 14, 47
3, 0, 0, 0, 3, 37, 48
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 2923, 13, 50
3, 0, 0, 0, 2, 38, 51
3, 0, 0, 0, 3, 39, 51
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 1469, 15, 53
3, 0, 0, 0, 3, 81, 54
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 13, 0, 55
