sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 7, 44
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 7, 44
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 9, 45
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 8, 46
2, 0, 0, 0, 0, 7, 46
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 8, 47
3, 0, 0, 0, 0, 9, 47
3, 0, 0, 0, 0, 8, 48
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 8, 49
2, 0, 0, 0, 0, 9, 49
3, 0, 0, 0, 0, 7, 50
2, 0, 0, 0, 0, 8, 51
2, 0, 0, 0, 0, 8, 51
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 7, 52
3, 0, 0, 0, 0, 7, 53
3, 0, 0, 0, 0, 8, 53
3, 0, 0, 0, 0, 9, 54
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 9, 55
3, 0, 0, 0, 0, 9, 55
3, 0, 0, 0, 0, 7, 56
2, 0, 0, 0, 0, 0, 57
