sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 23, 41
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 24, 45
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 0, 24, 47
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 28, 51
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 24, 54
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 25, 58
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 38, 61
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 30, 64
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 29, 67
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 75, 70
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 44, 74
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 32, 40
2, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 24, 43
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 25, 46
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 25, 50
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 26, 53
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 23, 56
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 23, 59
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 26, 63
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 23, 66
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 0, 69
