sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 6, 66
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 5, 66
2, 0, 0, 0, 0, 6, 66
2, 0, 0, 0, 0, 5, 67
2, 0, 0, 0, 0, 6, 67
3, 0, 0, 0, 0, 5, 67
3, 0, 0, 0, 0, 5, 67
2, 0, 0, 0, 0, 5, 68
3, 0, 0, 0, 0, 5, 68
2, 0, 0, 0, 0, 5, 69
2, 0, 0, 0, 0, 5, 69
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 5, 69
3, 0, 0, 0, 0, 5, 69
3, 0, 0, 0, 0, 5, 70
2, 0, 0, 0, 0, 6, 70
3, 0, 0, 0, 0, 6, 70
3, 0, 0, 0, 0, 6, 70
2, 0, 0, 0, 0, 5, 71
2, 0, 0, 0, 0, 6, 71
3, 0, 0, 0, 0, 5, 71
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 71
