sparql, precision, recall, fmeasure, explain, evict, memory
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 100, 53
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 106, 66
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 99, 78
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 103, 54
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 100, 67
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 99, 80
3, 0, 0, 0, 0, 101, 56
4, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 177, 69
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 237, 45
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 227, 58
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 270, 71
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 258, 47
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 235, 60
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 285, 72
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 209, 49
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 262, 62
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 205, 74
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 243, 51
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 245, 64
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 234, 76
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 52
