sparql, precision, recall, fmeasure, explain, evict, memory
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 8973, 74, 60
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 7506, 70, 76
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 8352, 70, 55
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 9879, 70, 72
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 12070, 77, 52
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 8538, 71, 71
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 4666, 71, 52
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 7931, 72, 69
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 5037, 70, 45
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 2198, 72, 58
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 3776, 71, 71
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 4401, 74, 48
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 6606, 72, 61
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 1399, 70, 73
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 4298, 65, 50
4, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 4490, 72, 63
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 5231, 69, 76
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 4889, 85, 53
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 5101, 68, 67
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 1222, 69, 80
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 1565, 0, 56
