sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 7319, 51, 53
4, 1.0, 2.574286554869079E-4, 5.147248060590463E-4, 11618, 56, 67
3, 1.0, 2.942041776993233E-4, 5.882352941176469E-4, 7236, 50, 48
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 10758, 54, 64
5, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 10894, 55, 43
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 9588, 50, 62
3, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 15894, 54, 78
3, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 13107, 53, 57
3, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 7117, 53, 73
3, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 8844, 48, 52
3, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 8551, 50, 69
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 5064, 49, 47
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 5356, 50, 62
4, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 4568, 48, 77
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 7449, 54, 55
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 2558, 48, 70
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 1722, 73, 49
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 6976, 44, 64
4, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 8116, 49, 79
5, 1.0, 4.41306266548985E-4, 8.822232024702251E-4, 5644, 51, 56
4, 1.0, 4.780817887614004E-4, 9.557066715677266E-4, 4374, 0, 71
