sparql, precision, recall, fmeasure, explain, evict, memory
6, 1.0, 0.001066490144160047, 0.0021307079093347047, 43739, 462, 27
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 34763, 437, 24
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 38857, 468, 56
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 30441, 464, 55
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 26433, 460, 55
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 28050, 481, 26
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 19372, 460, 40
4, 1.0, 0.001066490144160047, 0.0021307079093347047, 29366, 448, 54
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 12155, 457, 30
4, 1.0, 0.001066490144160047, 0.0021307079093347047, 12968, 459, 39
6, 1.0, 0.0014710208884966167, 0.002937720329024677, 11234, 466, 29
4, 1.0, 0.002059429243895263, 0.004110393423370522, 16270, 464, 32
4, 1.0, 0.0016916740217711092, 0.003377634187532124, 19827, 469, 57
4, 1.0, 0.0016181229773462784, 0.0032310177705977385, 9619, 439, 47
4, 1.0, 0.0018755516328331863, 0.0037440810483426934, 12934, 456, 39
4, 1.0, 0.0018020005884083555, 0.0035975184464593813, 8249, 442, 32
4, 1.0, 0.0019123271550456017, 0.003817354279841433, 22694, 473, 27
4, 1.0, 0.0019491026772580171, 0.0038906221325013765, 14569, 459, 25
4, 1.0, 0.0020226537216828477, 0.004037141703673799, 8796, 464, 24
5, 1.0, 0.002059429243895263, 0.004110393423370522, 18216, 459, 26
4, 1.0, 0.0020226537216828477, 0.004037141703673799, 11616, 0, 56
