sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 60, 73
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 59, 42
4, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 56, 49
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 58, 55
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 66, 62
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 54, 68
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 56, 74
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 58, 44
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 56, 50
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 57, 57
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 55, 63
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 56, 70
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 58, 76
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 59, 46
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 57, 52
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 54, 58
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 56, 65
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 55, 71
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 66, 78
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 61, 48
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 0, 54
