sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 54
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 39, 54
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 38, 55
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 76, 55
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 55
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 55
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 38, 56
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 56
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 39, 56
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 57
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 43, 57
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 39, 58
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 38, 58
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 58
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 39, 58
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 39, 59
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 39, 59
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 59
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 39, 59
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 60
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 0, 60
