sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 79, 78
4, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 73, 52
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 73, 61
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 73, 70
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 86, 43
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 135, 53
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 76, 63
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 84, 72
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 75, 45
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 76, 54
4, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 77, 64
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 80, 73
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 80, 46
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 78, 56
4, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 75, 65
4, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 78, 75
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 78, 48
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 77, 57
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 81, 67
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 83, 76
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 0, 49
