sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 47
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 48
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 49
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 50
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 41, 51
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 51
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 40, 53
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 53
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 42, 54
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 41, 55
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 56
3, 0, 0, 0, 0, 41, 57
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 58
4, 0, 0, 0, 0, 40, 59
3, 0, 0, 0, 0, 40, 60
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 61
3, 0, 0, 0, 0, 40, 62
3, 0, 0, 0, 0, 40, 63
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 63
3, 0, 0, 0, 0, 40, 64
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 65
