sparql, precision, recall, fmeasure, explain, evict, memory
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 0, 726, 49
4, 1.0, 5.884083553986466E-4, 0.0011761246692149367, 0, 716, 58
4, 1.0, 6.251838776110621E-4, 0.0012495865338674704, 0, 681, 31
4, 1.0, 7.722859664607238E-4, 0.0015433800022048286, 0, 748, 41
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 0, 690, 50
3, 1.0, 7.355104442483084E-4, 0.0014699397324709686, 0, 705, 59
4, 1.0, 3.3097969991173877E-4, 6.61740377192015E-4, 0, 777, 34
5, 1.0, 0.0011400411885848778, 0.002277485949381038, 0, 801, 43
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 0, 766, 52
4, 1.0, 8.090614886731392E-4, 0.0016168148746968473, 0, 771, 59
3, 1.0, 5.884083553986466E-4, 0.0011761246692149367, 0, 709, 64
3, 1.0, 4.045307443365696E-4, 8.087343307723413E-4, 0, 753, 37
3, 1.0, 7.722859664607238E-4, 0.0015433800022048286, 0, 696, 46
3, 1.0, 5.884083553986466E-4, 0.0011761246692149367, 0, 714, 55
3, 1.0, 8.8261253309797E-4, 0.001763668430335097, 0, 717, 29
3, 1.0, 0.0011400411885848778, 0.002277485949381038, 0, 707, 39
3, 1.0, 0.0011768167107972932, 0.0023508668821627973, 0, 721, 49
3, 1.0, 6.251838776110621E-4, 0.0012495865338674704, 0, 777, 59
4, 1.0, 5.516328331862312E-4, 0.00110265740434447, 0, 798, 34
4, 1.0, 0.0012135922330097086, 0.0024242424242424242, 0, 827, 42
4, 1.0, 9.561635775228008E-4, 0.0019105004041443162, 0, 0, 64
